Competitor ,Country_code,City_code,hex7_tag,Restaurant Name,,,Food tag 1,Schdeule,Min. Order Price,Delivery Cost,Restaurant Link,Created_at,Updated_at
tazz.ro,RO,TIM,871e19285ffffff,Ricci Delivery,,,InternaÈ›ional ,Deschide la 10:00,20.00 Lei,4.99  Lei,https://tazz.ro/timisoara/ricci-delivery/141/partener,30/10/2020 13:15:15,30/10/2020 13:15:15
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Fresh Kebab Centru,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/fresh-kebab-centru/199/partener,30/10/2020 13:15:16,30/10/2020 13:15:16
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,3F,,,RomÃ¢nesc ,Deschide la 10:30,30.00 Lei,Free Delivery,https://tazz.ro/timisoara/3f/1072/partener,30/10/2020 13:15:17,30/10/2020 13:15:17
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Sis Kebab Lipovei,,,Turcesc ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/sis-kebab-lipovei/4094/partener,30/10/2020 13:15:18,30/10/2020 13:15:18
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Falafel King Iulius Town,,,Oriental ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/falafel-king-iulius-town/3953/partener,30/10/2020 13:15:19,30/10/2020 13:15:19
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Sis Kebab,,,Turcesc ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/sis-kebab/4093/partener,30/10/2020 13:15:19,30/10/2020 13:15:19
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Falafel King Centru,,,Oriental ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/falafel-king-centru/3954/partener,30/10/2020 13:15:20,30/10/2020 13:15:20
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Usta Doner,,,Turcesc ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/usta-doner/1469/partener,30/10/2020 13:15:21,30/10/2020 13:15:21
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Jack`s Bistro,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,6.99  Lei,https://tazz.ro/timisoara/jack-s-bistro/1795/partener,30/10/2020 13:15:22,30/10/2020 13:15:22
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Sky Restaurant,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/sky-restaurant/3932/partener,30/10/2020 13:15:23,30/10/2020 13:15:23
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,BIOfresh,,,InternaÈ›ional ,Deschide la 10:30,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/biofresh/167/partener,30/10/2020 13:15:24,30/10/2020 13:15:24
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Paradisul Piratilor,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/paradisul-piratilor/3308/partener,30/10/2020 13:15:25,30/10/2020 13:15:25
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Cowboys,,,American ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/cowboys/4210/partener,30/10/2020 13:15:26,30/10/2020 13:15:26
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,KFC Shopping City Timisoara,,,American ,Deschide la 11:00,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/kfc-shopping-city-timisoara/1769/partener,30/10/2020 13:15:27,30/10/2020 13:15:27
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,KFC Timisoara Centru,,,American ,Deschide la 11:00,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/kfc-timisoara-centru/1734/partener,30/10/2020 13:15:28,30/10/2020 13:15:28
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,QUISINE,,,InternaÈ›ional ,Deschide la 12:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/quisine/4240/partener,30/10/2020 13:15:29,30/10/2020 13:15:29
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Sandyâ€™s Diner,,,American ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/sandy-s-diner/1265/partener,30/10/2020 13:15:30,30/10/2020 13:15:30
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Pizza Benitto,,,Italian ,Închide la 22:00,31.00 Lei,Free Delivery,https://tazz.ro/timisoara/pizza-benitto/342/partener,30/10/2020 13:15:31,30/10/2020 13:15:31
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Bun Burger,,,InternaÈ›ional ,Deschide la 15:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/bun-burger/3828/partener,30/10/2020 13:15:32,30/10/2020 13:15:32
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,McDonaldâ€™s Circumvalatiunii,,,American ,Deschide la 10:00,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/mcdonald-s-circumvalatiunii/1413/partener,30/10/2020 13:15:33,30/10/2020 13:15:33
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Unique Events,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/unique-events/3718/partener,30/10/2020 13:15:34,30/10/2020 13:15:34
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,McDonaldâ€™s Orizont Centru,,,American ,Deschide la 10:00,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/mcdonald-s-orizont-centru/1414/partener,30/10/2020 13:15:35,30/10/2020 13:15:35
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Restaurant Merlot,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/restaurant-merlot/108/partener,30/10/2020 13:15:36,30/10/2020 13:15:36
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Dominion Pizza,,,InternaÈ›ional ,Închide la 23:00,25.00 Lei,Free Delivery,https://tazz.ro/timisoara/dominion-pizza/1359/partener,30/10/2020 13:15:37,30/10/2020 13:15:37
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Taco Bell Timisoara,,,Mexican ,Deschide la 10:30,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/taco-bell-timisoara/1782/partener,30/10/2020 13:15:37,30/10/2020 13:15:37
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Irish Public House,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/irish-public-house/3943/partener,30/10/2020 13:15:38,30/10/2020 13:15:38
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Little Hanoi Restaurant,,,Vietnamez ,Deschide la 10:30,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/little-hanoi-restaurant/720/partener,30/10/2020 13:15:39,30/10/2020 13:15:39
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Fresca,,,Italian ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/fresca/232/partener,30/10/2020 13:15:40,30/10/2020 13:15:40
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Drunken Rat,,,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/drunken-rat/303/partener,30/10/2020 13:15:41,30/10/2020 13:15:41
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Marele Zid Chinezesc,,,Chinezesc ,Deschide la 11:00,45.00 Lei,Free Delivery,https://tazz.ro/timisoara/marele-zid-chinezesc/1010/partener,30/10/2020 13:15:42,30/10/2020 13:15:42
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Papa Sam,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/papa-sam/1403/partener,30/10/2020 13:15:43,30/10/2020 13:15:43
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Restaurant Tinecz,,,RomÃ¢nesc ,Deschide la 10:00,50.00 Lei,Free Delivery,https://tazz.ro/timisoara/restaurant-tinecz/358/partener,30/10/2020 13:15:44,30/10/2020 13:15:44
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Fenice,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/fenice/1384/partener,30/10/2020 13:15:45,30/10/2020 13:15:45
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Fabrika,,,InternaÈ›ional ,Deschide la 12:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/fabrika/1258/partener,30/10/2020 13:15:46,30/10/2020 13:15:46
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Pizza Hut Timisoara Iulius,,,American ,Deschide la 11:00,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/pizza-hut-timisoara-iulius/1702/partener,30/10/2020 13:15:47,30/10/2020 13:15:47
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Pizza Hut Shopping City,,,American ,Deschide la 11:00,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/pizza-hut-shopping-city/1703/partener,30/10/2020 13:15:48,30/10/2020 13:15:48
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Restaurant Nora,,,RomÃ¢nesc ,Deschide la 10:00,30.00 Lei,Free Delivery,https://tazz.ro/timisoara/restaurant-nora/36/partener,30/10/2020 13:15:49,30/10/2020 13:15:49
,,,,,,,,,,,,,
