Competitor,Sourcing_competitor,Restaurant_name,Tags,Average_basket_value,Country,City,City_code,Address,Postal_code,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website,URL,Takeaway,Delivery
Yelp,sourcing_yelp,El Reservado,Spanish,NA,Spain,RincÃ³n de la Victoria,RIV,"Autovía del Mediterráneo, 25629730 Rincón de la Victoria",NA,NA,NA,667 770 961,5,NA,https://www.yelp.com,https://www.yelp.com/biz/el-reservado-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,La Marina,Spanish,NA,Spain,RincÃ³n de la Victoria,RIV,Paseo de la Marina29730 Rincon de la Victoria,NA,NA,NA,952 403 766,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/la-marina-rincon-de-la-victoria-2,NA,NA
Yelp,sourcing_yelp,La Cañita,Seafood,NA,Spain,RincÃ³n de la Victoria,RIV,Paseo Maritimo Nuestra Señora del Carmen29002 Málaga,NA,NA,NA,952 405 971,5,NA,https://www.yelp.com,https://www.yelp.com/biz/la-ca%C3%B1ita-m%C3%A1laga,NA,NA
Yelp,sourcing_yelp,La Lonja II,Mediterranean,NA,Spain,RincÃ³n de la Victoria,RIV,"Paseo de la Marina, 5229730 Rincón de la Victoria",NA,NA,NA,952 403 546,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/la-lonja-ii-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Diaz Fernandez Susana,Restaurants,NA,Spain,RincÃ³n de la Victoria,RIV,"Carretera Benabalbon, 129730 Rincon De La Victoria",NA,NA,NA,952 404 328,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/diaz-fernandez-susana-rincon-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Dominguez Castillo Juan,Restaurants,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida del Mediterraneo, 729730 Rincon De La Victoria",NA,NA,NA,952 401 804,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/dominguez-castillo-juan-rincon-de-la-victoria,NA,NA
Yelp,sourcing_yelp,King Torres Rincon,Restaurants,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida del Mediterraneo, 13629730 Rincon De La Victoria",NA,NA,NA,952 971 393,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/king-torres-rincon-rincon-de-la-victoria,NA,NA
Yelp,sourcing_yelp,La Nora,Restaurants,NA,Spain,RincÃ³n de la Victoria,RIV,Paseo Marítimo de Nuestra Señora del Carmen 9129730 Rincon de la Victoria,NA,NA,NA,676 663 663,5,NA,https://www.yelp.com,https://www.yelp.com/biz/la-nora-rincon-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Juan Y Ramon,Spanish,NA,Spain,RincÃ³n de la Victoria,RIV,"Calle de José María Doblas, 229730 Rincón de la Victoria",NA,NA,NA,952 407 793,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/juan-y-ramon-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Grupo Empresarial Axarquia,Restaurants,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida del Mediterraneo, 14629730 Rincon De La Victoria",NA,NA,NA,952 972 125,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/grupo-empresarial-axarquia-rincon-de-la-victoria,NA,NA
