Rappi,PE,Peru,TRU,Trujillo,Don Pacho SÃ¡nguches y Horneados,"Sándwiches,",Desayunos,null,S/ 6.50,25 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Bombolato Gelato & Caffe,"Helados,","Postres,",Desayunos,S/ 5.00,30 min,4.4
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Burger King,Hamburguesas,null,null,S/ 5.00,50 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Natural Bowls,"Poke,",Desayunos,null,S/ 6.50,30 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Asu Mare,Pollería,null,null,S/ 4.10,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Chuck E. Cheese's,Pizzas,null,null,S/ 6.90,30 min,4.6
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Aldodiego & Co,Postres,null,null,S/ 4.10,16 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,My Jar,"Postres,",Desayunos,null,S/ 5.50,15 min,4.9
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,El Tostado CafÃ©,"Café,","Sándwiches,",Desayunos,S/ 5.50,28 min,4.6
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,El LimÃ³n y Su Causa,"Criolla,",Pescados y Mariscos,null,S/ 5.50,39 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,San Francisco SalÃ³n de TÃ© y Restaurante,Criolla,null,null,S/ 3.80,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Jugueria Cosecha Market,"Sándwiches,",Saludable,null,S/ 5.50,22 min,4.5
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Alejandra Tafur Catering,"Postres,",Desayunos,null,S/ 4.60,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Los Tumbos,Pescados y Mariscos,null,null,S/ 5.50,30 min,no rating
,,,,,,,,,,,
