Competitor,Sourcing_competitor,Restaurant_name,Tag,Average_basket_value,Min. Order,Country,City,City_code,Address,Postal_code,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website, URL,Opening_hours,Delivery_charges
Tazz,sourcing_tazz,Donna Anna Cuisine,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Strada GOSPODARILOR NR 13,N/A,45.75324307,21.23646541,N/A,4.7,168,https://www.tazz.ro,https://tazz.ro/timisoara/donna-anna-cuisine/4201/partener,"Luni  10:00 - 16:00
Marți  10:00 - 16:00
Miercuri  10:00 - 16:00
Joi  10:00 - 16:00
Vineri  10:00 - 16:00
","6 99 								Lei"
Tazz,sourcing_tazz,Yugoslavia,SÃ¢rbesc ,N/A,29 90 Lei,Romania,Timisoara,TIM,Str. Vadul Calugareni nr.1,N/A,45.75324307,21.23646541,N/A,4.7,338,https://www.tazz.ro,https://tazz.ro/timisoara/yugoslavia/17/partener,"Luni  12:00 - 20:30
Marți  12:00 - 20:30
Miercuri  12:00 - 20:30
Joi  12:00 - 20:30
Vineri  12:00 - 20:30
Sâmbătă  12:00 - 20:30
Duminică  12:00 - 20:30
","6 99 								Lei"
Tazz,sourcing_tazz,Star Food,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Ion Mihalache Nr 4,N/A,45.75324307,21.23646541,N/A,4.7,96,https://www.tazz.ro,https://tazz.ro/timisoara/star-food/4804/partener,"Luni  12:00 - 22:00
Marți  11:15 - 21:30
Miercuri  12:00 - 22:00
Joi  12:00 - 22:00
Vineri  12:00 - 22:00
Sâmbătă  12:00 - 22:00
Duminică  12:00 - 19:30
","6 99 								Lei"
Tazz,sourcing_tazz,Jack`s Bistro,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. Vasile Alecsandri, Nr. 3 SAD 1/A",N/A,45.75324307,21.23646541,N/A,4.7,2254,https://www.tazz.ro,https://tazz.ro/timisoara/jack-s-bistro/1795/partener,"Luni  09:00 - 21:00
Marți  09:00 - 21:00
Miercuri  09:00 - 21:00
Joi  09:00 - 21:00
Vineri  09:00 - 21:00
Sâmbătă  10:00 - 21:00
Duminică  10:00 - 21:00
","6 99 								Lei"
Tazz,sourcing_tazz,Cafeneaua Verde,InternaÈ›ional ,N/A,45 00 Lei,Romania,Timisoara,TIM,"STR. CORIOLAN BREDICEANU, NR 2",N/A,45.75324307,21.23646541,N/A,4.7,294,https://www.tazz.ro,https://tazz.ro/timisoara/cafeneaua-verde/4239/partener,"Luni  10:00 - 21:00
Marți  10:00 - 21:00
Miercuri  10:00 - 21:00
Joi  10:00 - 21:00
Vineri  10:00 - 21:00
Sâmbătă  10:00 - 21:00
Duminică  10:00 - 21:00
",Free Delivery
Tazz,sourcing_tazz,Food Point Dumbravita,Italian ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str Arinului nr. 64, Dumbravita",N/A,45.75324307,21.23646541,N/A,4.7,180,https://www.tazz.ro,https://tazz.ro/timisoara/food-point-dumbravita/3627/partener,"Luni  08:00 - 22:00
Marți  08:00 - 22:00
Miercuri  08:00 - 22:00
Joi  08:00 - 22:00
Vineri  08:00 - 22:00
Sâmbătă  08:00 - 22:00
Duminică  08:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,Anturaj,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Bd. Vasile Parvan, nr. 5",N/A,45.75324307,21.23646541,N/A,4.6,273,https://www.tazz.ro,https://tazz.ro/timisoara/anturaj/417/partener,"Luni  11:00 - 21:00
Marți  11:00 - 21:00
Miercuri  11:00 - 21:00
Joi  11:00 - 21:00
Vineri  11:00 - 21:00
Sâmbătă  12:00 - 21:00
Duminică  12:00 - 21:00
","6 99 								Lei"
Tazz,sourcing_tazz,Fresh Kebab Centru,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Piata Victoriei nr. 3,N/A,45.75324307,21.23646541,N/A,4.8,3875,https://www.tazz.ro,https://tazz.ro/timisoara/fresh-kebab-centru/199/partener,"Luni  10:00 - 21:00
Marți  10:00 - 21:00
Miercuri  10:00 - 21:00
Joi  10:00 - 21:00
Vineri  10:00 - 21:00
Sâmbătă  10:00 - 21:00
Duminică  10:00 - 21:00
","6 99 								Lei"
Tazz,sourcing_tazz,Urban King,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. Marasesti, nr. 12",N/A,45.75324307,21.23646541,N/A,4.6,1026,https://www.tazz.ro,https://tazz.ro/timisoara/urban-king/1717/partener,"Luni  10:00 - 22:45
Marți  13:30 - 22:45
Miercuri  10:00 - 22:45
Joi  10:00 - 22:45
Vineri  10:00 - 22:45
Sâmbătă  11:00 - 22:45
Duminică  11:00 - 22:45
","6 99 								Lei"
Tazz,sourcing_tazz,Sushi Master Timisoara,Asiatic ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. Conac, Nr. 55, Dumbravita",N/A,45.75324307,21.23646541,N/A,4.6,595,https://www.tazz.ro,https://tazz.ro/timisoara/sushi-master-timisoara/1861/partener,"Luni  10:00 - 21:00
Marți  09:30 - 20:30
Miercuri  09:30 - 20:30
Joi  09:30 - 20:30
Vineri  09:30 - 20:30
Sâmbătă  09:30 - 20:30
Duminică  09:30 - 20:30
","6 99 								Lei"
