Yelp,sourcing_yelp,Rincón de Diego,Spanish,NA,Spain,Cambrills,CBL,"Carrer de les Drassanes, 1943850 Cambrils",NA,NA,NA,977 361 307,4.5  ,4 reviews,https://www.yelp.com,https://www.yelp.com/biz/rinc%C3%B3n-de-diego-cambrils-3,NA,NA,"NA
Mon Closed
Tue 1:00 PM - 4:00 PM
Wed 8:30 PM - 11:00 PM
Thu 1:00 PM - 4:00 PM
Fri 8:30 PM - 11:00 PM
Sat 1:00 PM - 4:00 PM
Sun 8:30 PM - 11:00 PM"
Yelp,sourcing_yelp,Dorado,Mediterranean,NA,Spain,Cambrills,CBL,"Passeig de Pau Casals, 7143481 Vila-seca",NA,NA,NA,977 370 947,4.5  ,6 reviews,https://www.yelp.com,https://www.yelp.com/biz/dorado-vila-seca,NA,NA,"NA
Mon 12:30 PM - 11:30 PM
Tue 12:30 PM - 11:30 PM
Wed 12:30 PM - 11:30 PM
Thu 12:30 PM - 11:30 PM
Fri 12:30 PM - 11:30 PM
Sat 12:30 PM - 11:30 PM
Sun 12:30 PM - 11:30 PM"
Yelp,sourcing_yelp,Elektra Xiringuito,Tapas/Small Plates,NA,Spain,Cambrills,CBL,"Passeig Miramar, 8043840 Salou",NA,NA,NA,656 498 111,5  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/elektra-xiringuito-salou,NA,NA,NA
Yelp,sourcing_yelp,asador llagar,Argentine,NA,Spain,Cambrills,CBL,carretera de montbrio del camp43330 Montbrio del Camp,NA,NA,NA,NA,4  ,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/asador-llagar-montbrio-del-camp,NA,NA,NA
Yelp,sourcing_yelp,Chino Ciudad Feliz,Chinese,NA,Spain,Cambrills,CBL,"Calle Drassanes, 1043850 Cambrils",NA,NA,NA,977 791 579,4  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/chino-ciudad-feliz-cambrils,NA,NA,"NA
Mon 12:00 PM - 4:30 PM
Tue 7:00 PM - 12:00 AM (Next day)
Wed 12:00 PM - 4:30 PM
Thu 7:00 PM - 12:00 AM (Next day)
Fri 12:00 PM - 4:30 PM
Sat 7:00 PM - 12:00 AM (Next day)
Sun 12:00 PM - 4:30 PM"
Yelp,sourcing_yelp,Alhambra,Restaurants,NA,Spain,Cambrills,CBL,Plaza del Pou 743890 L'Hospitalet de l'Infant,NA,NA,NA,977 823 120,4.5  ,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/alhambra-l-hospitalet-de-l-infant,NA,NA,NA
Yelp,sourcing_yelp,La Caleta,"Mediterranean, Spanish",NA,Spain,Cambrills,CBL,"Carrer de Pep Ventura, 2543481 La Pineda",NA,NA,NA,977 372 513,5  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/la-caleta-la-pineda,NA,NA,NA
Yelp,sourcing_yelp,Zia María,"Salad, Italian",NA,Spain,Cambrills,CBL,"Avinguda de la Diputació, 2243850 Cambrils",NA,NA,NA,977 364 362,4  ,6 reviews,https://www.yelp.com,https://www.yelp.com/biz/zia-mar%C3%ADa-cambrils-3,NA,NA,NA
Yelp,sourcing_yelp,La Cuineta,Spanish,NA,Spain,Cambrills,CBL,"Nou Patriarca, 243003 Tarragona",NA,NA,NA,977 226 101,5  ,10 reviews,https://www.yelp.com,https://www.yelp.com/biz/la-cuineta-tarragona,NA,NA,NA
Yelp,sourcing_yelp,Casavella,Mediterranean,NA,Spain,Cambrills,CBL,"Carrer Consolat de Mar, 6243850 Cambrils",NA,NA,NA,977 364 712,3  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/casavella-cambrils,NA,NA,NA
Yelp,sourcing_yelp,Restaurante Acuamar,Seafood,NA,Spain,Cambrills,CBL,"Carrer Consolat de Mar, 6643850 Cambrils",NA,NA,NA,977 360 059,NA,,https://www.yelp.com,https://www.yelp.com/biz/restaurante-acuamar-cambrils,NA,NA,"NA
Mon 1:00 PM - 3:30 PM
Tue 8:00 PM - 10:30 PM
Wed 1:00 PM - 3:30 PM
Thu 8:00 PM - 10:30 PM
Fri 1:00 PM - 3:30 PM
Sat 8:00 PM - 10:30 PM
Sun 1:00 PM - 3:30 PM"
Yelp,sourcing_yelp,El Maset,Spanish,NA,Spain,Cambrills,CBL,Calle de Mont - Roig 043330 Montbrio del Camp,NA,NA,NA,977 826 838,5  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/el-maset-montbrio-del-camp,NA,NA,NA
Yelp,sourcing_yelp,Rohit Paris,Restaurants,NA,Spain,Cambrills,CBL,"Avenida Diputacio, 3 - BJ43850 Cambrils",NA,NA,NA,977 793 395,NA,,https://www.yelp.com,https://www.yelp.com/biz/rohit-paris-cambrils,NA,NA,NA
Yelp,sourcing_yelp,Ruiz Olmo Antonia,Restaurants,NA,Spain,Cambrills,CBL,"Rambla Jaume I, 53 - 443850 Cambrils",NA,NA,NA,977 365 314,NA,,https://www.yelp.com,https://www.yelp.com/biz/ruiz-olmo-antonia-cambrils,NA,NA,NA
Yelp,sourcing_yelp,Restauracio Cambrilenca Tomas i Gami,Restaurants,NA,Spain,Cambrills,CBL,"Calle Doctor Fleming, 3 - A43850 Cambrils",NA,NA,NA,977 364 054,NA,,https://www.yelp.com,https://www.yelp.com/biz/restauracio-cambrilenca-tomas-i-gami-cambrils-2,NA,NA,NA
Yelp,sourcing_yelp,La Tagliatella,Italian,NA,Spain,Cambrills,CBL,"Passeig de Pau Casals, 5543481 La Pineda",NA,NA,NA,977 373 018,4.5  ,3 reviews,https://www.yelp.com,https://www.yelp.com/biz/la-tagliatella-la-pineda,NA,NA,NA
Yelp,sourcing_yelp,Espai VI,Gastropubs,NA,Spain,Cambrills,CBL,"Carrer de Santa Anna, 343003 Tarragona",NA,NA,NA,672 266 894,4  ,4 reviews,https://www.yelp.com,https://www.yelp.com/biz/espai-vi-tarragona,NA,NA,"NA
Mon Closed
Tue 12:00 PM - 4:00 PM
Wed 6:00 PM - 11:00 PM
Thu 12:00 PM - 4:00 PM
Fri 6:00 PM - 11:00 PM
Sat 12:00 PM - 4:00 PM
Sun 6:00 PM - 11:00 PM"
Yelp,sourcing_yelp,Bocoisl,"Gastropubs, Tapas Bars, Spanish",NA,Spain,Cambrills,CBL,"Rambla Nova, 2443004 Tarragona",NA,NA,NA,628 582 458,5  ,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/bocoisl-tarragona,NA,NA,NA
Yelp,sourcing_yelp,Acuario,Spanish,NA,Spain,Cambrills,CBL,"Carrer de Vila Seca, s/n43850 Cambrils",NA,NA,NA,679 954 424,4  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/acuario-cambrils,NA,NA,NA
Yelp,sourcing_yelp,Mas Roselló,Mediterranean,NA,Spain,Cambrills,CBL,"Passeig Marítim Rafael Casanova, 2343007 Tarragona",NA,NA,NA,977 241 828,5  ,3 reviews,https://www.yelp.com,https://www.yelp.com/biz/mas-rosell%C3%B3-tarragona,NA,NA,NA
Yelp,sourcing_yelp,La Botifarra,Catalan,NA,Spain,Cambrills,CBL,"Carrer Cervantes, 543001 Tarragona",NA,NA,NA,977 216 551,5  ,3 reviews,https://www.yelp.com,https://www.yelp.com/biz/la-botifarra-tarragona,NA,NA,"NA
Mon 7:00 PM - 12:00 AM (Next day)
Tue 7:00 PM - 12:00 AM (Next day)
Wed 7:00 PM - 12:00 AM (Next day)
Thu 7:00 PM - 12:00 AM (Next day)
Fri 7:00 PM - 12:00 AM (Next day)
Sat 7:00 PM - 12:00 AM (Next day)
Sun 8:00 PM - 12:00 AM (Next day)"
Yelp,sourcing_yelp,Bresca,Mediterranean,NA,Spain,Cambrills,CBL,"Carrer del Doctor Alexander Fleming, 443850 Tarragona",NA,NA,NA,977 369 512,NA,,https://www.yelp.com,https://www.yelp.com/biz/bresca-tarragona,NA,NA,"NA
Mon Closed
Tue 1:00 PM - 3:30 PM
Wed 8:00 PM - 10:30 PM
Thu 1:00 PM - 3:30 PM
Fri 8:00 PM - 10:30 PM
Sat 1:00 PM - 3:30 PM
Sun 8:00 PM - 10:30 PM"
Yelp,sourcing_yelp,Deliranto,Spanish,NA,Spain,Cambrills,CBL,"Carrer de Llevant, 743840 Salou",NA,NA,NA,977 380 942,5  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/deliranto-salou,NA,NA,NA
Yelp,sourcing_yelp,Cal Tendre,"Catalan, Mediterranean",NA,Spain,Cambrills,CBL,"Carrer Ramon Llull, 1043850 Cambrils",NA,NA,NA,636 972 240,5  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/cal-tendre-cambrils,NA,NA,NA
Yelp,sourcing_yelp,Restaurante Duomo,Restaurants,NA,Spain,Cambrills,CBL,"Rbla Regueral, 443850 Cambrils Badia",NA,NA,NA,977 365 457,NA,,https://www.yelp.com,https://www.yelp.com/biz/restaurante-duomo-cambrils-badia,NA,NA,NA
Yelp,sourcing_yelp,la Fortmatjada,Restaurants,NA,Spain,Cambrills,CBL,"Calle Fuster Valldeperes, 643204 Reus",NA,NA,NA,977 773 891,5  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/la-fortmatjada-reus,NA,NA,NA
Yelp,sourcing_yelp,Fuji,Restaurants,NA,Spain,Cambrills,CBL,"Rambla Jaume I, 2343850 Cambrils",NA,NA,NA,977 363 390,NA,,https://www.yelp.com,https://www.yelp.com/biz/fuji-cambrils,NA,NA,NA
Yelp,sourcing_yelp,Restaurantes Rapidos de Salou,Restaurants,NA,Spain,Cambrills,CBL,"AV Diputacio, 843850 Cambrils Badia",NA,NA,NA,977 369 084,NA,,https://www.yelp.com,https://www.yelp.com/biz/restaurantes-rapidos-de-salou-cambrils-badia,NA,NA,NA
Yelp,sourcing_yelp,El Terrat,"Mediterranean, Seafood, Wine Bars",NA,Spain,Cambrills,CBL,"Carrer de Pons D'icart, 1943004 Tarragona",NA,NA,NA,977 248 485,5  ,7 reviews,https://www.yelp.com,https://www.yelp.com/biz/el-terrat-tarragona,NA,NA,"NA
Mon Closed
Tue 1:30 PM - 4:00 PM
Wed 8:30 PM - 11:00 PM
Thu 1:30 PM - 4:00 PM
Fri 8:30 PM - 11:00 PM
Sat 1:30 PM - 4:00 PM
Sun 8:30 PM - 11:00 PM"
Yelp,sourcing_yelp,Pizza Brich,Restaurants,NA,Spain,Cambrills,CBL,"Rambla Jaume I, 3443850 Cambrils",NA,NA,NA,977 368 384,NA,,https://www.yelp.com,https://www.yelp.com/biz/pizza-brich-cambrils,NA,NA,NA
