Rating,
4.3,176
4.3,407
4.3,90
4.3,83
4.2,325
4.2,137
4.1,104
N/A,N/A
3.8,276
3.6,177
3.6,74
3.4,117
-.-,2
5,31
5,18
5,10
5,5
-.-,3
-.-,3
5,40
4.9,50
