Perfumeria E Higiene,Bastoncillos de algodón Carrefour 160 ud.,"0,60 €",N/A,https://www.carrefour.es/supermercado/bastoncillos-de-algodon-carrefour-160-ud-carrefour/R-521001155/p
,,,,
Perfumeria E Higiene,Dentífrico triple action menta original Colgate pack de 2 unidades de 75 ml.,"2,40 €","1,60 €/100ml",https://www.carrefour.es/supermercado/bastoncillos-de-algodon-carrefour-160-ud-carrefour/R-521001155/p
,,,,
Perfumeria E Higiene,Gel de ducha refrescante Frescor Azul Carrefour 750 ml.,"0,75 €","0,10 €/100ml",https://www.carrefour.es/supermercado/dentifrico-triple-action-menta-original-colgate-pack-de-2-unidades-de-75-ml-colgate/R-521028427/p
,,,,
Perfumeria E Higiene,Jabón de manos aroma frutal Carrefour 500 ml.,"0,78 €","0,16 €/100ml",https://www.carrefour.es/supermercado/dentifrico-triple-action-menta-original-colgate-pack-de-2-unidades-de-75-ml-colgate/R-521028427/p
,,,,
Perfumeria E Higiene,Gel de ducha frutal 1 l.,"0,88 €","0,09 €/100ml",https://www.carrefour.es/supermercado/gel-de-ducha-refrescante-frescor-azul-carrefour-750-ml-carrefour/R-prod1070614/p
,,,,
Perfumeria E Higiene,Jabón de manos algodón Carrefour 500 ml.,"0,78 €","0,16 €/100ml",https://www.carrefour.es/supermercado/gel-de-ducha-refrescante-frescor-azul-carrefour-750-ml-carrefour/R-prod1070614/p
,,,,
Perfumeria E Higiene,Discos desmaquillantes 120 ud.,"0,68 €","0,01 €/ud",https://www.carrefour.es/supermercado/jabon-de-manos-aroma-frutal-carrefour-500-ml-carrefour/R-prod1120220/p
,,,,
Perfumeria E Higiene,Bastoncillos de algodón 200 ud.,"0,68 €","0,33 €/100ml",https://www.carrefour.es/supermercado/jabon-de-manos-aroma-frutal-carrefour-500-ml-carrefour/R-prod1120220/p
,,,,
Perfumeria E Higiene,Gel de ducha Nutritivo Lactovit 900 ml.,"2,99 €","3,00 €/100ml",https://www.carrefour.es/supermercado/gel-de-ducha-frutal-1-l-producto-blanco/R-prod1070617/p
,,,,
Perfumeria E Higiene,Dentífrico Pro-Expert Multi-Protección Menta Fresca Oral-B pack de 2 unidades de 75 ml.,"4,50 €","0,27 €/100ml",https://www.carrefour.es/supermercado/gel-de-ducha-frutal-1-l-producto-blanco/R-prod1070617/p
,,,,
Perfumeria E Higiene,Gel de ducha hidratante Natural Honey 750 ml.,"0,99 €","0,99 €/ud",https://www.carrefour.es/supermercado/jabon-de-manos-algodon-carrefour-500-ml-carrefour/R-fprod1190661/p
,,,,
Perfumeria E Higiene,Dentífrico protección caries fluor con calcio Colgate 50 ml.,"0,88 €","0,09 €/100ml",https://www.carrefour.es/supermercado/jabon-de-manos-algodon-carrefour-500-ml-carrefour/R-fprod1190661/p
,,,,
