La Bendita Cocina,https://www.rappi.com.pe/trujillo/restaurantes/la-bendita-cocina
Zucarella,https://www.rappi.com.pe/trujillo/restaurantes/zucarella
Ala Kadabra,https://www.rappi.com.pe/trujillo/restaurantes/ala-kadabra
Marialé,https://www.rappi.com.pe/trujillo/restaurantes/mariale
Coco Crepe,https://www.rappi.com.pe/trujillo/restaurantes/coco-crepe
Cafe Restaurante Las Rejas,https://www.rappi.com.pe/trujillo/restaurantes/cafe-restaurante-las-rejas
Ruah Polleria,https://www.rappi.com.pe/trujillo/restaurantes/ruah-polleria
Casa Quimuk Cocina Criolla,https://www.rappi.com.pe/trujillo/restaurantes/casa-quimuk-cocina-criolla
Sanguchería El Artesano,https://www.rappi.com.pe/trujillo/restaurantes/sangucheria-el-artesano
Crementina,https://www.rappi.com.pe/trujillo/restaurantes/crementina
Koa Bowls,https://www.rappi.com.pe/trujillo/restaurantes/koa-bowls
El Mero Cevicheria,https://www.rappi.com.pe/trujillo/restaurantes/cevicheria-el-mero-trujillo
Huancha,https://www.rappi.com.pe/trujillo/restaurantes/huancha
El Búho Sanguchería,https://www.rappi.com.pe/trujillo/restaurantes/el-buho-sangucheria
El Carrito 100% Carne,https://www.rappi.com.pe/trujillo/restaurantes/el-carrito-100-carne
Mamá Mía Sandwiches,https://www.rappi.com.pe/trujillo/restaurantes/mama-mia-sandwiches
Fonzi Cafeteria & Restaurant,https://www.rappi.com.pe/trujillo/restaurantes/fonzi-cafeteria-restaurant
Olho Pasteleria,https://www.rappi.com.pe/trujillo/restaurantes/olho-pasteleria
Cevicheria Ya Pez,https://www.rappi.com.pe/trujillo/restaurantes/cevicheria-ya-pez
Crepería Amélie,https://www.rappi.com.pe/trujillo/restaurantes/amelie-dulceria
TrujiFries,https://www.rappi.com.pe/trujillo/restaurantes/trujifries
MammaPizza,https://www.rappi.com.pe/trujillo/restaurantes/mammapizza
Panca Y Maíz,https://www.rappi.com.pe/trujillo/restaurantes/panca-maiz
fogos,https://www.rappi.com.pe/trujillo/restaurantes/fogos
Mr. Rondo,https://www.rappi.com.pe/trujillo/restaurantes/mr.-rondo-husares-de-primavera
Habemus Papas,https://www.rappi.com.pe/trujillo/restaurantes/habemus-papas
Libeertad Draft And Food,https://www.rappi.com.pe/trujillo/restaurantes/libeertad-draft-and-food
Tijuana Street Food,https://www.rappi.com.pe/trujillo/restaurantes/tijuana-street-food
El Barrilito Express,https://www.rappi.com.pe/trujillo/restaurantes/el-barrilito-express
Mr. Doggo Express,https://www.rappi.com.pe/trujillo/restaurantes/mr-doggo-express
