Competitor,Country Code,City Code,hex7_tag,Restaurant Name,Ratings,Reviews,Tag,Restaurant Time,Min. Order,Delivery Charges,Restaurant URL,Created_at,Updated_at
tazz.ro,RO,TIM,871e1928effffff,Food Point Dumbravita,4.7,152,Italian ,Închide la 22:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/food-point-dumbravita/3627/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Sis Kebab Lipovei,4.4,252,Turcesc ,Închide la 22:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/sis-kebab-lipovei/4094/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Street Coffee Roasters,-.-,2,InternaÈ›ional ,Închide la 17:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/street-coffee-roasters/4567/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Senneville Gheorghe Lazar,4.7,174,Alimente È™i BÄƒuturi ,Închide la 20:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/senneville-gheorghe-lazar/257/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Neata Omelette Bistro Iulius Mall,4.5,95,InternaÈ›ional ,Închide la 16:45,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/neata-omelette-bistro-iulius-mall/3153/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Guau Cafe y Pan,5,28,InternaÈ›ional ,Închide la 19:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/guau-cafe-y-pan/1766/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Statia de Cafea,4.9,50,InternaÈ›ional ,Închide la 15:30,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/statia-de-cafea/1720/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Langosi Uriasi,4.2,17,InternaÈ›ional ,Închide la 18:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/langosi-uriasi/4112/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Kunde,5,21,InternaÈ›ional ,Deschide la 11:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/kunde/4899/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Al Caminetto,4.9,270,InternaÈ›ional ,Deschide în 08.01 la 11:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/al-caminetto/4297/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,HOTTY VIENNA STREET FOOD,4.8,89,InternaÈ›ional ,Închide la 21:30,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/hotty-vienna-street-food/3901/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Shizen Sushi Bar,4.8,843,Japonez ,Deschide la 12:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/shizen-sushi-bar/387/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Donna Anna Cuisine,4.8,132,InternaÈ›ional ,Închide la 16:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/donna-anna-cuisine/4201/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Zaza Resto Pub,4.7,147,InternaÈ›ional ,Închide la 20:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/zaza-resto-pub/4326/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Hangry Monkey,4.7,181,InternaÈ›ional ,Închide la 22:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/hangry-monkey/4477/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Ribs Grill Delivery,4.7,645,InternaÈ›ional ,Deschide în 08.01 la 11:00,40 00 Lei,"6 99 								Lei",https://tazz.ro/timisoara/ribs-grill-delivery/3991/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Epic Burgery,4.7,29,InternaÈ›ional ,Deschide la 11:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/epic-burgery/4820/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,La Trattoria - Cucina Moderna,4.6,14,InternaÈ›ional ,Deschide la 12:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/la-trattoria-cucina-moderna/4691/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Usta Doner Torontalului,4.6,1956,Turcesc ,Închide la 21:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/usta-doner-torontalului/1469/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Sushi Master Timisoara,4.6,553,Asiatic ,Închide la 20:45,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/sushi-master-timisoara/1861/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Casa Sofia,4.6,10,InternaÈ›ional ,Deschide la 12:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/casa-sofia/4688/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Drunken Rat,4.6,1273,InternaÈ›ional ,Deschide la 11:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/drunken-rat/303/partener,5/1/2021 12:11,5/1/2021 12:11
tazz.ro,RO,TIM,871e1928effffff,Fresh Kebab Centru,4.5,3763,InternaÈ›ional ,Închide la 21:00,29 90 Lei,"6 99 								Lei",https://tazz.ro/timisoara/fresh-kebab-centru/199/partener,5/1/2021 12:11,5/1/2021 12:11
