Competitor ,Country_code,City_code,hex7_tag,Restaurant Name,Ratings,Number of reviews,Food tag 1,Schdeule,Min. Order Price,Delivery Cost,Restaurant Link,Created_at,Updated_at
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Food Point Dumbravita,4.7,55,Italian ,Închide la 22:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/food-point-dumbravita/3627/partener,30/10/2020 13:15:03,30/10/2020 13:15:03
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Guau Cafe y Pan,5,19,InternaÈ›ional ,Închide la 19:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/guau-cafe-y-pan/1766/partener,30/10/2020 13:15:04,30/10/2020 13:15:04
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Statia de Cafea,4.9,45,InternaÈ›ional ,Închide la 15:30,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/statia-de-cafea/1720/partener,30/10/2020 13:15:04,30/10/2020 13:15:04
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Brunch To Go 700,4.7,21,InternaÈ›ional ,Închide la 18:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/brunch-to-go-700/3121/partener,30/10/2020 13:15:05,30/10/2020 13:15:05
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Neata Omelette Bistro Iulius Mall,4.3,55,InternaÈ›ional ,Închide la 19:45,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/neata-omelette-bistro-iulius-mall/3153/partener,30/10/2020 13:15:06,30/10/2020 13:15:06
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Donna Anna Cuisine Giroc,-.-,2,InternaÈ›ional ,Deschide la 10:00,FALSE,4.99  Lei,https://tazz.ro/timisoara/donna-anna-cuisine-giroc/4203/partener,30/10/2020 13:15:07,30/10/2020 13:15:07
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Donna Anna Cuisine,4.9,16,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/donna-anna-cuisine/4201/partener,30/10/2020 13:15:08,30/10/2020 13:15:08
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Urban King,4.8,689,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/urban-king/1717/partener,30/10/2020 13:15:09,30/10/2020 13:15:09
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Trio Giroc,4.7,71,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/trio-giroc/4083/partener,30/10/2020 13:15:10,30/10/2020 13:15:10
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Pizzeria Cora,4.7,70,InternaÈ›ional ,Deschide la 10:00,FALSE,FALSE,https://tazz.ro/timisoara/pizzeria-cora/3957/partener,30/10/2020 13:15:11,30/10/2020 13:15:11
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,McDonaldâ€™s Stadion Timisoara,4.6,1027,American ,Deschide la 10:00,30.00 Lei,4.99  Lei,https://tazz.ro/timisoara/mcdonald-s-stadion-timisoara/1415/partener,30/10/2020 13:15:12,30/10/2020 13:15:12
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Ribs Grill Delivery,4.6,220,InternaÈ›ional ,Deschide la 10:00,50.00 Lei,4.99  Lei,https://tazz.ro/timisoara/ribs-grill-delivery/3991/partener,30/10/2020 13:15:13,30/10/2020 13:15:13
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Anturaj,4.5,132,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/anturaj/417/partener,30/10/2020 13:15:14,30/10/2020 13:15:14
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Ricci Delivery,4.4,736,InternaÈ›ional ,Deschide la 10:00,20.00 Lei,4.99  Lei,https://tazz.ro/timisoara/ricci-delivery/141/partener,30/10/2020 13:15:15,30/10/2020 13:15:15
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Fresh Kebab Centru,4.2,3302,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/fresh-kebab-centru/199/partener,30/10/2020 13:15:16,30/10/2020 13:15:16
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,3F,4.2,1140,RomÃ¢nesc ,Deschide la 10:30,30.00 Lei,FALSE,https://tazz.ro/timisoara/3f/1072/partener,30/10/2020 13:15:17,30/10/2020 13:15:17
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Sis Kebab Lipovei,4.1,53,Turcesc ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/sis-kebab-lipovei/4094/partener,30/10/2020 13:15:18,30/10/2020 13:15:18
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Falafel King Iulius Town,4.1,79,Oriental ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/falafel-king-iulius-town/3953/partener,30/10/2020 13:15:19,30/10/2020 13:15:19
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Sis Kebab,3.6,19,Turcesc ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/sis-kebab/4093/partener,30/10/2020 13:15:19,30/10/2020 13:15:19
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Falafel King Centru,3.6,117,Oriental ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/falafel-king-centru/3954/partener,30/10/2020 13:15:20,30/10/2020 13:15:20
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Usta Doner,4.7,1567,Turcesc ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/usta-doner/1469/partener,30/10/2020 13:15:21,30/10/2020 13:15:21
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Jack`s Bistro,4.6,1553,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,6.99  Lei,https://tazz.ro/timisoara/jack-s-bistro/1795/partener,30/10/2020 13:15:22,30/10/2020 13:15:22
,,,,,,,,,,,,,
tazz.ro,RO,TIM,871e19285ffffff,Sky Restaurant,4.6,14,InternaÈ›ional ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/timisoara/sky-restaurant/3932/partener,30/10/2020 13:15:23,30/10/2020 13:15:23
,,,,,,,,,,,,,
